no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
26,大数据测试工程师,友塔游戏,10-15K·14薪,3-5年,本科,上海·长宁区·仙霞,数据测试,"['岗位职责 ', '1. 负责大数据产品的数据测试工作，保证系统数据质量。推动数据治理，提升数据的可靠性。 ', '2. 参与大数据产品的需求分析和需求评审，分析测试需求，开发测试用例，并搭建环境及执行测试。 ', '3. 制定数据系统的质量标准，推动系统质量不断提升。 ', '4. 进行缺陷的定位、跟踪管理及统计分析，推动问题及时合理的解决。 ', ' ', '岗位要求 ', '1. 3 年以上工作经验，本科及以上学历，计算机相关专业。 ', '2. 熟悉掌握常用的一种或多种测试技术，包括功能测试、接口测试、自动化测试、性能测试 等；有互联网数据测试经验优先。 ', '3. 熟悉大数据架构的基本知识，对数据库有一定了解， 熟练使用 SQL 。 ', '4. 熟悉Java、Python、Golang 中的一门或多门语言，有代码走读能力，有实际编码经验优先。 ', '5. 在某一测试领域比如性能、安全、自动化、数据测试等具备很强的专业技能者优先。 ', '6. 对数据敏感，有良好的沟通能力和团队协作能力，主动性强。']",上海长宁区金虹桥国际中心北区,https://www.zhipin.com/job_detail/0dafdbe63e0713e11XF90tm0FFJR.html?lid=EC6acqknzO.search.146&securityId=ffms8oZsg5dnm-Z12SJNVzlgLH8MXOsjb57buMoKfWJqPG6uOnnuv3_TpE5T78bBLzr68Xo3Sfhc5VoZ5zMmZMmSQNZk5vUoCVNDl5vRAdKyttKprEnXGVOgWnyf5MRHwiVKhnPKZi1kZTO49CA1o4s~&sessionId=
27,大数据运维工程师,橙域,18-30K,1-3年,大专,上海·徐汇区·漕河泾,"Python,Shell,ELK,大数据运维,Linux,HBase,Redis,MySQL","['工作职责:', '1、负责 大数据平台部署、监控、系统运维等工作，保障系统7*24小时运营；', '2、为线上服务高效稳定运行负责，支撑业务和数据量的快速扩张，发现并能解决重大性能瓶劲。', '任职资格:', '1、本科及以上学历，信息技术或相关管理专业，具有1年以上数据平台的运维经验，熟悉linux操作系统；', '2、掌握shell，python，ruby中至少一门语言，有JAVA开发经验优先；', '3、具有CDH或HDP、ELK，kylin、flink、kafka、hbase、hdfs等大数据系统的运维经验，有开发经验优先。', '4、思路敏捷清晰，有责任心及抗压能力，有强烈的自驱力，并有良好的团队协作精神']",上海徐汇区创新大楼(宜山路)2201,https://www.zhipin.com/job_detail/a2f5e1f37ee5488e1nJ50tq9FldY.html?lid=EC6acqknzO.search.147&securityId=8fAbCrpwcwJSz-h1E6z2u7gzKDNsBijOGu3_Z79G2_a-GjQxInemJ1CFmp2H1hLO8bDiR0st-CGDcORAIEPUyB3-CFV-OEHTQWNzMaQZtiG-atZf&sessionId=
28,大数据算法工程师,别样红,30-60K,3-5年,本科,上海·长宁区·北新泾,"RMS,算法工程师","['工作职责：', '1、负责规划和研究现有结构化和非结构化数据，探索数据在实际业务中的应用；', '2、基于现有海量数据，建立数据挖掘及数据治理体系；', '3、结合实际业务场景和需求，制定相关算法方案及高效实现，解决实际业务问题；', '4、深入了解业务，对平台酒店大数据进行分析，寻找潜在的收益机会，并实现新增收益；', '5、基于对用户数据的分析及用户行为的深入理解，结合业务，建立数据挖掘、最优化线上的价格和促销以及相关收益产品；', '岗位要求：', '1、本科及以上学历，2年或以上工作经验，对数学建模、数据挖掘、机器学习或相关领域有一定了解，有实际推荐和预测工作经验；', '2、熟悉酒店行业，有酒店运营指导相关算法并有实践经验，熟练掌握数据挖掘、数据建模与经营分析相关知识；', '3、能够熟练使用Hive和SQL，并熟练掌握Java、Scala、Python等任意一门编程语言；', '4、具有发现问题、分析问题、解决问题的能力，需要较强的逻辑分析、数据分析能力、问题排查能力；', '5、积极向上，有良好的团队合作精神及较强的抗压能力，有良好的人际沟通能力和良好的工作协调能力；', '优先考虑：', '1、有酒店收益管理系统设计工作经验者；', '2、有酒店运营管理和酒店预测建模工作经验者；', '3、有开源社区项目贡献者优先；', '岗位亮点：', '1、技术广度和深度：大规模深度学习解决法案平台，包括离线、近线到在线，从数据到模型全流程；', '2、业务广度：酒店住宿业务的多种模型场景；']",上海长宁区申亚时代广场A座六楼,https://www.zhipin.com/job_detail/f98e0f95e94537f61n1y2Ni4GVdU.html?lid=EC6acqknzO.search.148&securityId=qMNAmOj1PSPNT-q121iulIuAVEwEoJea5ta4cG1sKx3jAVb2RUvFhbW9kwe10Shc1BkckRy61ap2DIO6vhlN-GTsSTb5o_CHXp4BB_tj2pA2jmA~&sessionId=
29,大数据产品工程师,上海逐鹿信息,8-13K,1年以内,大专,上海·黄浦区·老西门,"DB2,Oracle,SQLServer","['薪资福利：', '基本薪资（6K-8K）+绩效工资（多劳多得）；', '年终奖（三薪）；', '每半年以上会有岗位考核和升职加薪机会；', '岗位职责：', '1、负责客户大数据系统实施、运维、故障排除、巡检等技术方面问题；', '2、掌握主流大数据库基本技能；', '3、掌握大数据相关方面产品，例如：Informatica；', '4、有DBA证书者优先；', '5、在知名系统集成商从业经验者优先。', '任职要求：', '1、计算机相关专业大专或以上学历；', '2、1年以上IT方面从业经验者；', '3、品行端正、认真负责；具有良好的团队协作能力。', '工作地点：黄浦区淮海东路99号恒基大厦8楼O-P座', '工作时间：9:30-17:30 ；做五休二（周末双休）']",上海黄浦区恒积大厦8楼O-P座,https://www.zhipin.com/job_detail/2c502d531fef81f31XV62Nu-GFc~.html?lid=EC6acqknzO.search.149&securityId=ps7WGp3SYFCUN-11U-e2TaDHMlgZGXjEQGDyZxkVGn0sO5Hb-bg15B1v3e2GRwAr6hSvvQnKQr4EUBllHPuAIvQdBVMtfuF0D6p2UmFB1VKtMt8~&sessionId=
30,银行大数据分析师,华罡,20-40K,1-3年,本科,上海·普陀区·华师大,"电子商务,互联网金融,数据分析",,,https://www.zhipin.com/job_detail/3acfa1c7b6b0d3aa1Xd92926E1Q~.html?lid=EC6acqknzO.search.150&securityId=9MfBpWltfaXWA-V1QToNGXmVWt6kgtbihnHHRy8vC6cVWwwqtxHTTn6I04c497i3xDY1Yz5kfZAdmlifSlm26dbJZi7pohjZECkYyVvvKaPqmjY~&sessionId=
1,大数据产品经理,吉利控股集团,20-35K,5-10年,本科,上海·徐汇区·龙华,"市场调研,用户研究,数据分析,Axure,Visio","['写在前面：本岗位需3年以上互联网大数据产品工作经验，有大数据产品经验优先，有完整项目经验者，欢迎相关从业经理投递~', '岗位职责：', '1、负责国内头部车企大数据价值挖掘，大数据应用规划，应用方案设计，产出数据产品交互PRD文档；', '2、负责大数据应用业务推进，进行跨部门跨公司沟通协调，内外部资源的拉通和推进，推进大数据应用落地；', '3、负责数据产品设计开发，与技术团队进行需求对接，负责数据产品开发推进与迭代优化。', '任职资格：', '1、本科及以上学历，3年以上互联网大数据产品工作经验，有大数据产品经验优先，能够独立承担产品规划和落地工作；', '2、敏锐的数据洞察能力和业务视野，擅长数据价值挖掘，能够敏锐捕获数据价值和产品机会；', '3、具备较强的分析、管理及解决问题能力，良好的逻辑表达能力，沟通能力，团队协同能力和抗压能力。', '4、懂工程数据优先，具备车企工作经验加分，具备工业数据经验加分。']",上海徐汇区吉利中国设计中心创新设计院,https://www.zhipin.com/job_detail/0013eb199b5708cb1XJ839i1GFdX.html?lid=CXSa3hdyST.search.151&securityId=pwnQGkRDd9Aka-D1cvuYexQ_O8TJvlUTf2zupRG0HWruPpFPbYIEEOiojUED9EUSNG5HGXEDYnBOGWwuMZOIcJRxdPgzdWjR3cYk7Ze-Tb_DEdc~&sessionId=
2,大数据架构师,富通科技,20-28K,5-10年,本科,上海,"Python,Java,大数据平台架构经验,数仓建设经验","['职位描述: ', '1. 参与业务需求分析及模型梳理，协助产品及研发完成产品落地；', '2. 负责大数据平台架构设计及规划，包括数据集成、传输、存储、计算、分析、可视化、数据治理等；', '3. 对现有业务场景及数据流程进行梳理，提供优化建议及指导，助力产品升级；', '4. 独挡一面，可领导团队独立完成项目实施交付；', '任职要求：', '1. 全日制本科及以上学历，计算机相关专业，有项目管理经验者优先；', '2. 8年以上大数据平台研发经验，5年以上大数据平台架构经验；具备数据仓库，数据建模，数据监控管理，数据治理相关经验，具备海量数据清洗、分析处理及存储的相关的实践经验；', '3. 熟练使用并理解Hadoop架构和生态（YARN、HDFS、HIVE、HBASE、KYLIN、IMPALA、ELASTICSEARCH、KUDU、SQOOP、FLUME、CAMEL、KAFKA等）；', '4. 精通大数据集群组件参数调优、性能优化，有生产故障解决经验优先；', '5. 熟练掌握Python/Java/Scala一种或多种；', '6. 具有较好的沟通能力和领导能力；']",上海长宁区999兆丰广场-大厦805室,https://www.zhipin.com/job_detail/296d1cc8833b0da41HR70tS5FlpW.html?lid=CXSa3hdyST.search.152&securityId=Ko36McvMpLQuT-l1kB9YTdf8MEOS4H-6E-j-3ZdwKaKHYv0dCEgrH-7EwcY7DX4QTlWWqyDkGfebMJgsUcSW8IoyNIrhLZupeVBP76qu7JIWsNqg&sessionId=
3,资深大数据工程师,凯智信息,22-40K·13薪,5-10年,本科,上海·徐汇区·漕河泾,"Spark,Kafka,HDFS,Impala,Streaming,Flink,Java,架构","['岗位要求（非外包）:', '公司开放扁平文化，核心技术团队由500强技术大牛组成，轻松工作氛围，人性福利关怀，崇尚团队文化', '1.\xa0\xa0\xa0 211、985相关院校本科及以上学历，3年以上大数据领域开发、2年以上大数据技术架构经验；', '2.\xa0\xa0\xa0 熟悉Linux技术、Docker技术等；', '3.\xa0\xa0\xa0 熟悉Java开发技术及主流开发框架如Spring boot等；', '4.\xa0\xa0\xa0 熟悉大数据存储、计算相关技术，如HDFS、Hbase、Flink、Spark&Spark Streaming、Zoo Keeper、Elastic Search、Impala等常用大数据技术，并对大数据相关技术原理有深刻认识；', '5.\xa0\xa0\xa0 熟悉大数据缓存技术如Redis；熟悉分布式消息组件处理技术如Kafka、ActiveMQ、RabbitMQ其中一种；熟练使用MySQL、Neo4j、pgSQL数据库相关技术；', '6.\xa0\xa0\xa0 熟悉面向对象编程、设计模式，具有良好的编码风格及一定的文档编写能力；', '7.\xa0\xa0\xa0 具有丰富的数据处理、统计分析及数据建模经验；', '8.\xa0\xa0\xa0 熟悉项目开发完整流程，具有较好的团队配合能力、沟通及表达能力及抗压能力；具有独立的大数据技术问题解决能力；', '9.\xa0\xa0\xa0 热爱技术，喜欢钻研；对大数据技术领域有较高的工作热情。']",上海徐汇区钦汇园73号5楼A座,https://www.zhipin.com/job_detail/f858c05a4cd955f11nB52dS4GVBR.html?lid=CXSa3hdyST.search.153&securityId=lerrLiWfu83oU-N1eqJlAMKzv_LIbl2N2xa_wOFImI67KdkD2fY2nDeflAqeWX0oM-PpG8bgMNz90E8QYIzq4Whqtzv6c33_jqfW5S6SnbkaOpWlzAo~&sessionId=
4,大数据产品经理,上海思亮,20-40K,3-5年,本科,上海,"B端产品,高级产品经理","['岗位职责', '1、负责项目产品前期的市场调研和分析，搜集行业相关动态及竞品信息，对产品市场潜力进行准确预测分析；', '2、深度挖掘用户需求，根据公司产品战略要求，独立完成需求文档编写、产品方案设计、及交互原型设计；', '3、定期与公司技术人员对接，对项目全程进行指导和监控，确保按时、按质、按量交付项目；', '4、项目开发过程中，与业务客户保存良好沟通，实时把握客户需求，及时配合PM、研发团队完成产品的需求变更落地执行；', '5、关注用户价值，提高客户服务意识，定期进行用户体验收集和竞品分析；', '6、定期对公司信息化产品进行迭代、优化、升级，稳步完善产品功能，提高用户体验。', '任职资格：', '1、4年以上相关岗位工作经验，同业经验优先考虑；', '2、善于分析挖掘用户需求，注重用户体验。熟悉产品开发流程，能和设计人员、技术人员、市场人员紧密配合，协调各方面工作；', '3、优秀的执行力、创造力、学习能力 ；', '4、较好的逻辑思维能力、沟通协调能力、独立思考及产品规划能力；', '5、具备一定的数据分析能力、项目管理能力及团队合作能力；', '6、对数据敏感、有较强的数据分析能力，有丰富的需求分析、产品规划设计经验，能够敏锐挖掘到客户的痛点。']",上海宝山区山海大厦(沪太路辅路)沪太路1717号5楼,https://www.zhipin.com/job_detail/404d6736cae04f471Xx73t2_FlJR.html?lid=CXSa3hdyST.search.154&securityId=hIhhqRahdO_Nb-R1RF6rmwuj0GjUZCP9Bj4BI9HnMkgAlXWiPn3NrbG0s3N_cq4gJdGtWhWgOyTKN4aaWJIksuB_zZ_gmtjsGifMp-qJ1Dsf8n9Oze8z5TFUliYZf3pSftpQT-Pxmq-i0YfbeJo~&sessionId=
5,大数据/数据库引擎开发,天翼云科技公司,28-55K·16薪,5-10年,本科,上海·浦东新区·康桥,"C++服务端开发经验,C++,引擎,mpp,大数据","['目标： OLAP /实时数仓 核心开发，打造新一代的亚秒级/准实时的 数据分析/批处理系统', '要求： ', '1. 精通c/cpp或java， 扎实的编程功底，良好的数据结构/算法/ACM 功底', '2. 扎实的系统/网络编程、高性能高并发功底，有编译原理或虚拟机/llvm等底层系统开发经验者优先', '3. 精通 SQL，熟悉 parser/词法&语法解析、planner逻辑/物理计划、optimizer/优化器，或调度优化/稳定性治理， mpp执行引擎、代码生成/矢量化、性能优化 等至少一个模块', '4. 熟悉或做过 湖仓一体&存储系统、meta系统、备份/还原/导入&导出 等至少某一模块', '5. 熟悉业界生态 如OLAP 系统如gp/teradata、类snowflake/databrick 、国内实时数仓厂商等优先']",上海浦东新区中国电信信息园(秀沿西路)25号楼,https://www.zhipin.com/job_detail/7355f88be49cf1941HR52Nu_F1tU.html?lid=CXSa3hdyST.search.155&securityId=XQLPU3prPa565-I1l2zpFEU88n_hkkj0QoXa2v_cX3Rg93mncTP_H7kDM9ZjjWZmn7dApgmcAqwQCoLHOtA-dWLYhkLhFeHiuR_uLxdtyHtYMl7lgw~~&sessionId=
6,大数据运维专家,天风证券,35-45K·15薪,5-10年,本科,上海·虹口区·北外滩,"HIVE,Hadoop,Azkaban,Sqoop,HDFS,Yarn","['岗位职责：', '1、负责数据平台、包括大数据平台、实施数据平台和数据中台的架构规划；', '2、负责大数据研发体系和规范的设和建设，并指导初级人员；', '3、对接相关方，负责数据平台的运维等工作；', '4、对数据平台安全保障方面进行研究和设计，保障平台数安全。', '职位要求：', '1、大学本科或以上学历，计算机、统计学、信息管理等相关专业，具备5年以上工作经验；', '2、有强烈的责任心和团队合作精神、具备良好的沟通能力以及快速学习的能力；', '3、具有3年以上大数据项目建设工作经验，负责过大数据运维工作者优先；', '4、熟悉Hadoop架构与生态圈，对核心组件有过深入研究和开发经验者优先；', '5、精通SQL，熟悉一门或多门通用编程语言（如Java/Scala/Python等）；', '6、具备快速学习能力，能快速掌握新的开源技术框架，具有行业发展的前瞻性思维。']",上海虹口区天风证券678号2楼,https://www.zhipin.com/job_detail/e4c33361d9af403f1XV-2di_EldV.html?lid=CXSa3hdyST.search.156&securityId=rW8biK63T9mK7-r1ChojVIUkKsTj0h2yvAAk2iLMOG2sEWh9MxeYsC02JTfA9TjLDm7H3LPQlsFAVBtO38xEp4K1LJJmFQXhlFL-RYRINsxV-bR6oQ~~&sessionId=
